"","BodenTyp.B1","Fabric.1","Fabric.2","Fabric.3","Fabric.4","GefTyp.C1","GefTyp.E1","GefTyp.F4","GefTyp.C2","GefTyp.I4","GefTyp.D1","GefTyp.F3","VerzTech.01","VerzTech.02","VerzTech.04","VerzTech.04-1","VerzTech.05","VerzTech.06","VerzTech.08","VerzTech.09","VerzTech.12","VerzTech.16"
"BDG",1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0
"BEK",0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
"BKN",0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
"BLD",0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1
"BLM",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BOS",0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
"BOT",1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"BSG",0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
"IKK",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"LIK",0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"LKG",0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"LON",1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"MAL",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"MAT",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"MBA",0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"MKA",1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"MON",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"MPO",0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"NGO",1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"NKI",1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0
"OUE",0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"PKM",1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"WAF",0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0
"WEM",0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
"YOP",1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
